HOST,IP,PORT,STATUS,DATE,PING_BEGINS,PING_ENDS
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:38:36.785, 00:38:39.808
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:38:40.826, 00:38:43.847
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:44.860, 00:38:45.365
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:46.378, 00:38:46.378
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:47.392, 00:38:47.394
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:48.401, 00:38:48.402
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:49.415, 00:38:49.420
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:50.447, 00:38:50.463
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:51.478, 00:38:51.479
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:52.495, 00:38:52.497
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:53.514, 00:38:53.516
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:54.542, 00:38:54.561
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:55.591, 00:38:55.592
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:56.601, 00:38:56.603
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:57.616, 00:38:57.617
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:38:58.632, 00:38:58.634
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:38:59.654, 00:39:02.679
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:39:03.693, 00:39:06.708
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:39:07.719, 00:39:10.743
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:39:11.761, 00:39:11.763
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:39:12.774, 00:39:12.775
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:39:13.793, 00:39:13.795
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:39:14.821, 00:39:17.839
